CELL_LINE_NAME	DRUG_NAME	MAX_CONC	LN_IC50
HCC1954	Camptothecin	0.1	-0.251083
HCC1143	Camptothecin	0.1	1.343315
HCC1187	Camptothecin	0.1	1.736985
HCC1395	Camptothecin	0.1	-2.309078
HCC1599	Camptothecin	0.1	-3.106684
HCC1937	Camptothecin	0.1	0.224916
HCC2157	Camptothecin	0.1	-1.728301
HCC2218	Camptothecin	0.1	1.054417
HCC38	Camptothecin	0.1	-2.078181
HCT-116	Camptothecin	0.1	-2.985721
HCT-15	Camptothecin	0.1	-2.869888
HT-29	Camptothecin	0.1	-2.143997
T47D	Camptothecin	0.1	-0.906245
MCF7	Camptothecin	0.1	-1.12617
BT-549	Camptothecin	0.1	-1.236487
Hs-578-T	Camptothecin	0.1	-0.287232
MDA-MB-231	Camptothecin	0.1	-2.227156
COLO-205	Camptothecin	0.1	-1.044537
SW620	Camptothecin	0.1	-3.092858
HCC2998	Camptothecin	0.1	-1.265275
KM12	Camptothecin	0.1	-2.0952
BT-20	Camptothecin	0.1	-2.26343
COLO-824	Camptothecin	0.1	-0.043674
CAL-120	Camptothecin	0.1	-1.152528
DU-4475	Camptothecin	0.1	-4.271105
EFM-19	Camptothecin	0.1	0.169891
EVSA-T	Camptothecin	0.1	-1.268542
HCC1419	Camptothecin	0.1	0.84632
HCC1569	Camptothecin	0.1	0.104913
HCC1806	Camptothecin	0.1	-3.017804
HCC70	Camptothecin	0.1	0.121553
HT55	Camptothecin	0.1	-0.374586
HT-115	Camptothecin	0.1	-1.601612
GP5d	Camptothecin	0.1	-3.381439
LoVo	Camptothecin	0.1	-3.221495
LS-123	Camptothecin	0.1	0.006045
LS-411N	Camptothecin	0.1	-1.146271
LS-513	Camptothecin	0.1	-2.945073
MDA-MB-361	Camptothecin	0.1	-0.959321
MDA-MB-453	Camptothecin	0.1	-2.014633
MDA-MB-468	Camptothecin	0.1	-2.55424
MRK-nu-1	Camptothecin	0.1	-2.243342
NCI-H508	Camptothecin	0.1	-3.447166
NCI-H747	Camptothecin	0.1	-0.455879
NCI-H716	Camptothecin	0.1	-0.072106
OCUB-M	Camptothecin	0.1	-1.967764
RCM-1	Camptothecin	0.1	-1.783233
RKO	Camptothecin	0.1	-3.632296
SK-CO-1	Camptothecin	0.1	-5.331648
SNU-C2B	Camptothecin	0.1	0.067435
SW1417	Camptothecin	0.1	0.678112
SW1463	Camptothecin	0.1	-2.143157
SW48	Camptothecin	0.1	-3.784746
SW837	Camptothecin	0.1	-0.862671
SW948	Camptothecin	0.1	-2.523671
T84	Camptothecin	0.1	-2.222119
UACC-893	Camptothecin	0.1	-0.524717
ZR-75-30	Camptothecin	0.1	2.638266
CW-2	Camptothecin	0.1	-2.520942
COLO-320-HSR	Camptothecin	0.1	-1.622168
COLO-678	Camptothecin	0.1	4.132475
C2BBe1	Camptothecin	0.1	0.503885
AU565	Camptothecin	0.1	-3.140216
CAL-85-1	Camptothecin	0.1	-1.17757
SNU-C1	Camptothecin	0.1	-0.237601
CAL-51	Camptothecin	0.1	-3.521093
MFM-223	Camptothecin	0.1	2.776031
LS-1034	Camptothecin	0.1	-1.050013
CAL-148	Camptothecin	0.1	-4.684976
CaR-1	Camptothecin	0.1	-2.761606
MDA-MB-415	Camptothecin	0.1	0.57138
MDA-MB-157	Camptothecin	0.1	-0.618514
BT-474	Camptothecin	0.1	3.556764
CAMA-1	Camptothecin	0.1	-0.630463
BT-483	Camptothecin	0.1	2.115236
LS-180	Camptothecin	0.1	-2.866705
CCK-81	Camptothecin	0.1	-2.553237
CL-40	Camptothecin	0.1	-3.868761
MDA-MB-436	Camptothecin	0.1	-1.635276
MDST8	Camptothecin	0.1	-3.645002
CL-11	Camptothecin	0.1	-1.605026
CL-34	Camptothecin	0.1	-2.68195
EFM-192A	Camptothecin	0.1	1.431538
HCC1428	Camptothecin	0.1	2.703446
HDQ-P1	Camptothecin	0.1	-1.283605
JIMT-1	Camptothecin	0.1	-0.897835
HCC1500	Camptothecin	0.1	-1.085408
MDA-MB-330	Camptothecin	0.1	2.042513
SNU-1040	Camptothecin	0.1	0.754433
SNU-175	Camptothecin	0.1	-3.412054
SNU-407	Camptothecin	0.1	-1.425613
SNU-81	Camptothecin	0.1	-0.333842
SNU-C5	Camptothecin	0.1	-2.502602
DiFi	Camptothecin	0.1	-1.488213
MC-CAR	Camptothecin	0.1	-1.746082
PFSK-1	Camptothecin	0.1	-2.006249
A673	Camptothecin	0.1	-4.962337
ES5	Camptothecin	0.1	-2.509709
ES7	Camptothecin	0.1	-5.239445
EW-11	Camptothecin	0.1	-4.372936
SK-ES-1	Camptothecin	0.1	-5.109751
COLO-829	Camptothecin	0.1	-1.206706
5637	Camptothecin	0.1	-2.31453
RT4	Camptothecin	0.1	-2.798417
SW780	Camptothecin	0.1	-1.647826
TCCSUP	Camptothecin	0.1	-1.865504
C-33-A	Camptothecin	0.1	-3.640911
C-4-I	Camptothecin	0.1	-1.73874
ME-180	Camptothecin	0.1	-3.594401
42-MG-BA	Camptothecin	0.1	-2.906706
8-MG-BA	Camptothecin	0.1	-4.584382
A172	Camptothecin	0.1	-3.1084
GB-1	Camptothecin	0.1	-3.149507
T98G	Camptothecin	0.1	-2.376573
U-118-MG	Camptothecin	0.1	-3.166476
U-87-MG	Camptothecin	0.1	-2.951987
NCI-H720	Camptothecin	0.1	0.782097
Calu-3	Camptothecin	0.1	-1.993318
COR-L23	Camptothecin	0.1	-1.403354
LK-2	Camptothecin	0.1	-0.171871
NCI-H1623	Camptothecin	0.1	-4.176086
NCI-H1648	Camptothecin	0.1	-2.817891
NCI-H1650	Camptothecin	0.1	0.736513
NCI-H1693	Camptothecin	0.1	0.889164
NCI-H1838	Camptothecin	0.1	0.975556
NCI-H2085	Camptothecin	0.1	0.192718
NCI-H2170	Camptothecin	0.1	-3.96132
NCI-H2228	Camptothecin	0.1	-2.871827
NCI-H2342	Camptothecin	0.1	0.385774
NCI-H2347	Camptothecin	0.1	2.099821
NCI-H2405	Camptothecin	0.1	0.351629
NCI-H661	Camptothecin	0.1	0.358145
COR-L311	Camptothecin	0.1	-4.067723
DMS-114	Camptothecin	0.1	-1.263248
DMS-273	Camptothecin	0.1	-2.533841
NCI-H1048	Camptothecin	0.1	-4.198541
NCI-H1092	Camptothecin	0.1	-0.57976
NCI-H1417	Camptothecin	0.1	-4.428952
NCI-H1694	Camptothecin	0.1	-4.490594
NCI-H1963	Camptothecin	0.1	-2.762755
NCI-H2029	Camptothecin	0.1	-1.705886
NCI-H209	Camptothecin	0.1	-5.568987
NCI-H2141	Camptothecin	0.1	-0.940381
NCI-H2227	Camptothecin	0.1	-2.031672
NCI-H345	Camptothecin	0.1	0.454577
NCI-H446	Camptothecin	0.1	-2.022564
NCI-H526	Camptothecin	0.1	-4.97758
NCI-H64	Camptothecin	0.1	1.7959
NCI-H69	Camptothecin	0.1	-1.749722
NCI-H82	Camptothecin	0.1	-2.897812
NCI-H2052	Camptothecin	0.1	-1.877104
SK-N-DZ	Camptothecin	0.1	-4.267147
SK-N-FI	Camptothecin	0.1	-2.010414
VA-ES-BJ	Camptothecin	0.1	-3.404986
VMRC-LCD	Camptothecin	0.1	1.293788
LU-139	Camptothecin	0.1	-1.858484
SBC-5	Camptothecin	0.1	-3.689053
LU-135	Camptothecin	0.1	-2.420763
SK-N-SH	Camptothecin	0.1	-2.89981
NCI-H2122	Camptothecin	0.1	-3.085383
NCI-H650	Camptothecin	0.1	-2.645933
NCI-H929	Camptothecin	0.1	-3.606339
SK-N-AS	Camptothecin	0.1	-2.487864
NCI-H1299	Camptothecin	0.1	-2.306297
NCI-H2087	Camptothecin	0.1	-3.273861
UM-UC-3	Camptothecin	0.1	-3.862462
SW756	Camptothecin	0.1	-1.963715
NCI-H727	Camptothecin	0.1	0.197419
Calu-6	Camptothecin	0.1	-2.369109
LU-65	Camptothecin	0.1	-2.348864
NCI-H1355	Camptothecin	0.1	0.96823
NCI-H1792	Camptothecin	0.1	-3.601037
HPAF-II	Camptothecin	0.1	-0.296583
MIA-PaCa-2	Camptothecin	0.1	-2.700202
SHP-77	Camptothecin	0.1	-1.207314
NCI-H2009	Camptothecin	0.1	-2.856155
SW1573	Camptothecin	0.1	-2.379578
SW900	Camptothecin	0.1	-2.123844
TE-5	Camptothecin	0.1	-2.931252
BB49-HNC	Camptothecin	0.1	-2.027031
Ca9-22	Camptothecin	0.1	-3.253273
CADO-ES1	Camptothecin	0.1	-5.147479
CAL-33	Camptothecin	0.1	-3.746636
CP66-MEL	Camptothecin	0.1	-0.525514
CPC-N	Camptothecin	0.1	-1.176761
CTV-1	Camptothecin	0.1	-4.538412
DMS-79	Camptothecin	0.1	-4.347583
DSH1	Camptothecin	0.1	-3.453712
EBC-1	Camptothecin	0.1	-4.083769
EC-GI-10	Camptothecin	0.1	-3.049552
EPLC-272H	Camptothecin	0.1	-0.851197
HA7-RCC	Camptothecin	0.1	-2.626678
HO-1-u-1	Camptothecin	0.1	-2.98966
HSC-2	Camptothecin	0.1	-4.417918
IM-9	Camptothecin	0.1	-5.22851
IST-SL2	Camptothecin	0.1	-4.858818
J82	Camptothecin	0.1	-2.47785
KNS-62	Camptothecin	0.1	-2.516114
KP-4	Camptothecin	0.1	-3.28912
KYSE-140	Camptothecin	0.1	-1.045508
KYSE-410	Camptothecin	0.1	0.771646
KYSE-520	Camptothecin	0.1	2.169185
KYSE-70	Camptothecin	0.1	1.916677
LB771-HNC	Camptothecin	0.1	0.688279
LB831-BLC	Camptothecin	0.1	-2.919106
LB996-RCC	Camptothecin	0.1	-4.202557
LCLC-103H	Camptothecin	0.1	-1.426858
LU-165	Camptothecin	0.1	-0.865251
LXF-289	Camptothecin	0.1	-1.730596
MS-1	Camptothecin	0.1	-2.561421
NCI-H1563	Camptothecin	0.1	1.035792
NCI-H835	Camptothecin	0.1	-0.513289
PC-14	Camptothecin	0.1	-1.608937
SBC-3	Camptothecin	0.1	-4.597033
SK-MM-2	Camptothecin	0.1	-3.770258
TE-15	Camptothecin	0.1	-4.069639
U-266	Camptothecin	0.1	-1.293384
BE2-M17	Camptothecin	0.1	-2.616148
KELLY	Camptothecin	0.1	-4.337626
SIMA	Camptothecin	0.1	-4.39292
TE-1	Camptothecin	0.1	-1.257903
TE-8	Camptothecin	0.1	-2.570067
CAPAN-1	Camptothecin	0.1	-3.660655
OVCAR-3	Camptothecin	0.1	-0.267795
PC-3	Camptothecin	0.1	-1.016106
DU-145	Camptothecin	0.1	-3.161246
HL-60	Camptothecin	0.1	-4.551981
K-562	Camptothecin	0.1	-1.978469
NCI-H226	Camptothecin	0.1	1.226427
NCI-H23	Camptothecin	0.1	-2.606447
NCI-H522	Camptothecin	0.1	-1.673023
786-0	Camptothecin	0.1	-3.494502
A498	Camptothecin	0.1	-0.524668
A549	Camptothecin	0.1	-3.187084
ACHN	Camptothecin	0.1	-4.133949
CCRF-CEM	Camptothecin	0.1	-4.928022
SK-MEL-2	Camptothecin	0.1	-0.334741
SK-MEL-5	Camptothecin	0.1	-2.567593
MOLT-4	Camptothecin	0.1	-4.698154
SK-OV-3	Camptothecin	0.1	-1.186707
RPMI-8226	Camptothecin	0.1	-4.080889
